timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.398801,2.571472,3.6631,0,2591700,23.78722,Delay-insensitive,1,1.75
300,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.030219,5.681803,34.200333,0,2591700,23.78722,Delay-insensitive,1,1.75
600,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.911377,2.868478,5.441293,0,2591700,23.78722,Delay-insensitive,1,1.75
900,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.959745,2.665498,3.746231,0,2591700,23.78722,Delay-insensitive,1,1.75
1200,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.827257,2.323436,3.007056,0,2591700,23.78722,Delay-insensitive,1,1.75
1500,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.327482,4.186933,10.443481,0,2591700,23.78722,Delay-insensitive,1,1.75
1800,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.780015,2.7147810000000003,3.720364,0,2591700,23.78722,Delay-insensitive,1,1.75
2100,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.956415,2.853156,3.727996,0,2591700,23.78722,Delay-insensitive,1,1.75
2400,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.513476,3.5423730000000004,5.137961,0,2591700,23.78722,Delay-insensitive,1,1.75
2700,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.126962,3.198921,4.147766000000001,0,2591700,23.78722,Delay-insensitive,1,1.75
3000,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.225873,3.048382,3.721774,0,2591700,23.78722,Delay-insensitive,1,1.75
3300,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.513676,4.825583999999999,17.458566,0,2591700,23.78722,Delay-insensitive,1,1.75
3600,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.614147,3.140162,3.994136,0,2591700,23.78722,Delay-insensitive,1,1.75
3900,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.3538650000000003,6.058975,34.420419,0,2591700,23.78722,Delay-insensitive,1,1.75
4200,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.6406459999999998,3.1722,4.790572,0,2591700,23.78722,Delay-insensitive,1,1.75
4500,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.314547,2.971826,3.723354,0,2591700,23.78722,Delay-insensitive,1,1.75
4800,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.837962,2.883066,4.1681870000000005,0,2591700,23.78722,Delay-insensitive,1,1.75
5100,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.331515,3.56042,5.882314,0,2591700,23.78722,Delay-insensitive,1,1.75
5400,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.422079,2.959737,3.4374910000000005,0,2591700,23.78722,Delay-insensitive,1,1.75
5700,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.567303,3.280024,3.978063,0,2591700,23.78722,Delay-insensitive,1,1.75
6000,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.608147,3.890308,7.057821000000001,0,2591700,23.78722,Delay-insensitive,1,1.75
6300,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,3.045501,3.550872,3.9975,0,2591700,23.78722,Delay-insensitive,1,1.75
6600,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.896496,2.990832,4.233771,0,2591700,23.78722,Delay-insensitive,1,1.75
6900,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.865145,2.995919,4.24485,0,2591700,23.78722,Delay-insensitive,1,1.75
7200,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.6543650000000003,3.19599,3.994166,0,2591700,23.78722,Delay-insensitive,1,1.75
7500,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.312182,6.123861,23.598995,0,2591700,23.78722,Delay-insensitive,1,1.75
7800,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.830325,3.742003,5.4813730000000005,0,2591700,23.78722,Delay-insensitive,1,1.75
8100,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,1.92497,2.871013,3.831599,0,2591700,23.78722,Delay-insensitive,1,1.75
8400,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.282743,2.724869,3.671489,0,2591700,23.78722,Delay-insensitive,1,1.75
8700,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.197868,2.983149,4.705048000000001,0,2591700,23.78722,Delay-insensitive,1,1.75
9000,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.374187,2.826023,3.4805589999999995,0,2591700,23.78722,Delay-insensitive,1,1.75
9300,ZTWcvdUVD1HR4MiPlSm/GJoV1zOvO1dVYvLK6tzXuQf0UaVQsEHnqCa9pnTm8e3y,2.359464,3.108178,3.971376,0,2591700,23.78722,Delay-insensitive,1,1.75
