timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.177067,1.6684900000000005,3.192519,0,2591700,18.156925,Delay-insensitive,1,1.75
300,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.163397,1.585006,2.945349,0,2591700,18.156925,Delay-insensitive,1,1.75
600,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.157444,1.6414919999999995,2.335298,0,2591700,18.156925,Delay-insensitive,1,1.75
900,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.173207,4.361904,26.995315,0,2591700,18.156925,Delay-insensitive,1,1.75
1200,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.147161,1.540418,2.287746,0,2591700,18.156925,Delay-insensitive,1,1.75
1500,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.156778,1.746293,2.752105,0,2591700,18.156925,Delay-insensitive,1,1.75
1800,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,0.505333,1.591294,3.155928,0,2591700,18.156925,Delay-insensitive,1,1.75
2100,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.155539,1.532924,2.464936,0,2591700,18.156925,Delay-insensitive,1,1.75
2400,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,0.5439,1.599252,2.498098,0,2591700,18.156925,Delay-insensitive,1,1.75
2700,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.13815,1.618869,3.290345,0,2591700,18.156925,Delay-insensitive,1,1.75
3000,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.158316,1.548192,2.547348,0,2591700,18.156925,Delay-insensitive,1,1.75
3300,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.229796,1.702384,2.371305,0,2591700,18.156925,Delay-insensitive,1,1.75
3600,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,0.973321,1.6645990000000002,3.076492,0,2591700,18.156925,Delay-insensitive,1,1.75
3900,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.157099,1.575675,2.289741,0,2591700,18.156925,Delay-insensitive,1,1.75
4200,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.176953,1.657849,2.3162540000000003,0,2591700,18.156925,Delay-insensitive,1,1.75
4500,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,0.60026,4.154847,26.749031,0,2591700,18.156925,Delay-insensitive,1,1.75
4800,ZWEsK5iFO2pSoYP8O511ytALV/VYSMAQy60En4XRI5622DVgQkg6PKB0Cb8VYM+E,1.18679,1.559445,2.39894,0,2591700,18.156925,Delay-insensitive,1,1.75
