timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1336119999999999,3.912642,39.68164,0,2591700,88.629721,Delay-insensitive,8,14.0
300,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1076319999999999,1.2150299999999998,14.079351,0,2591700,88.629721,Delay-insensitive,8,14.0
600,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.086982,0.620862,2.4264360000000003,0,2591700,88.629721,Delay-insensitive,8,14.0
900,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.136997,0.631985,1.4463700000000002,0,2591700,88.629721,Delay-insensitive,8,14.0
1200,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.125717,0.619887,1.4982,0,2591700,88.629721,Delay-insensitive,8,14.0
1500,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.166868,1.979036,35.048701,0,2591700,88.629721,Delay-insensitive,8,14.0
1800,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.13341,0.885949,11.378868,0,2591700,88.629721,Delay-insensitive,8,14.0
2100,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1511839999999999,0.631845,1.545064,0,2591700,88.629721,Delay-insensitive,8,14.0
2400,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.128858,0.607322,1.603681,0,2591700,88.629721,Delay-insensitive,8,14.0
2700,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.084388,1.403201,33.230803,0,2591700,88.629721,Delay-insensitive,8,14.0
3000,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.134427,0.601847,1.431833,0,2591700,88.629721,Delay-insensitive,8,14.0
3300,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.11712,0.6023890000000001,1.241482,0,2591700,88.629721,Delay-insensitive,8,14.0
3600,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.128899,4.020626999999999,75.782883,0,2591700,88.629721,Delay-insensitive,8,14.0
3900,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.0839299999999999,1.480546,20.425741,0,2591700,88.629721,Delay-insensitive,8,14.0
4200,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1283369999999999,1.123895,11.796409,0,2591700,88.629721,Delay-insensitive,8,14.0
4500,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.14653,0.637432,1.565215,0,2591700,88.629721,Delay-insensitive,8,14.0
4800,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.125513,0.626043,1.539703,0,2591700,88.629721,Delay-insensitive,8,14.0
5100,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.106564,1.038094,17.061391,0,2591700,88.629721,Delay-insensitive,8,14.0
5400,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.157703,0.882077,20.303453,0,2591700,88.629721,Delay-insensitive,8,14.0
5700,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.079559,0.597863,1.6132,0,2591700,88.629721,Delay-insensitive,8,14.0
6000,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1452359999999999,0.6078479999999999,1.365181,0,2591700,88.629721,Delay-insensitive,8,14.0
6300,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.143991,1.348673,17.818137,0,2591700,88.629721,Delay-insensitive,8,14.0
6600,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.072417,0.593767,1.227381,0,2591700,88.629721,Delay-insensitive,8,14.0
6900,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1183309999999999,0.63847,1.682829,0,2591700,88.629721,Delay-insensitive,8,14.0
7200,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1474869999999999,8.407499000000001,82.850286,0,2591700,88.629721,Delay-insensitive,8,14.0
7500,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.120517,1.562746,33.885965,0,2591700,88.629721,Delay-insensitive,8,14.0
7800,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.157554,1.107614,9.779702,0,2591700,88.629721,Delay-insensitive,8,14.0
8100,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.136434,0.629369,1.402225,0,2591700,88.629721,Delay-insensitive,8,14.0
8400,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.113399,1.6865580000000002,32.325778,0,2591700,88.629721,Delay-insensitive,8,14.0
8700,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.056799,0.62966,1.6627169999999998,0,2591700,88.629721,Delay-insensitive,8,14.0
9000,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.122459,0.884126,21.474756,0,2591700,88.629721,Delay-insensitive,8,14.0
9300,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.116845,0.629993,1.48249,0,2591700,88.629721,Delay-insensitive,8,14.0
9600,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.128418,1.837482,30.310946,0,2591700,88.629721,Delay-insensitive,8,14.0
9900,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.05745,0.625388,1.312452,0,2591700,88.629721,Delay-insensitive,8,14.0
10200,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.137418,0.622028,1.538851,0,2591700,88.629721,Delay-insensitive,8,14.0
10500,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.086261,1.332337,22.825004,0,2591700,88.629721,Delay-insensitive,8,14.0
10800,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.124161,7.781492,73.303653,0,2591700,88.629721,Delay-insensitive,8,14.0
11100,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.10912,0.620985,1.474301,0,2591700,88.629721,Delay-insensitive,8,14.0
11400,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.087634,1.074034,12.905568,0,2591700,88.629721,Delay-insensitive,8,14.0
11700,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.135848,1.579394,23.24911,0,2591700,88.629721,Delay-insensitive,8,14.0
12000,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.072199,0.628137,1.357017,0,2591700,88.629721,Delay-insensitive,8,14.0
12300,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.136956,0.619251,1.274538,0,2591700,88.629721,Delay-insensitive,8,14.0
12600,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.115618,0.8843770000000001,13.223664,0,2591700,88.629721,Delay-insensitive,8,14.0
12900,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1298359999999999,1.153632,14.407568,0,2591700,88.629721,Delay-insensitive,8,14.0
13200,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.112642,0.6081439999999999,1.380193,0,2591700,88.629721,Delay-insensitive,8,14.0
13500,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.142416,0.680608,4.253761,0,2591700,88.629721,Delay-insensitive,8,14.0
13800,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.076838,1.332977,16.250253,0,2591700,88.629721,Delay-insensitive,8,14.0
14100,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.1117269999999999,0.780546,6.69136,0,2591700,88.629721,Delay-insensitive,8,14.0
14400,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.140958,6.378581,73.46109100000001,0,2591700,88.629721,Delay-insensitive,8,14.0
14700,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.08962,0.630217,1.629777,0,2591700,88.629721,Delay-insensitive,8,14.0
15000,ZuuAx1QvYgvHgP/KBSaYz8swrlGa91lY7a1PfrhQFNo/G4tNipwGPzBfkvK8XJ9R,0.20044,1.88099,17.272479,0,2591700,88.629721,Delay-insensitive,8,14.0
