timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,7.124836999999999,11.631636,17.589283000000002,0,1002900,83.278985,Delay-insensitive,4,7.0
300,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,7.373711,11.585726,16.305778,0,1002900,83.278985,Delay-insensitive,4,7.0
600,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,1.820321,10.413168,18.41327,0,1002900,83.278985,Delay-insensitive,4,7.0
900,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,6.4987900000000005,11.3969,16.81494,0,1002900,83.278985,Delay-insensitive,4,7.0
1200,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,6.265807,10.698053,16.941209,0,1002900,83.278985,Delay-insensitive,4,7.0
1500,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,7.0217350000000005,12.107362,17.745885,0,1002900,83.278985,Delay-insensitive,4,7.0
1800,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,3.979569,13.372583,53.545977,0,1002900,83.278985,Delay-insensitive,4,7.0
2100,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,4.731371,10.687934,15.94118,0,1002900,83.278985,Delay-insensitive,4,7.0
2400,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,7.541291,12.015281,16.548021,0,1002900,83.278985,Delay-insensitive,4,7.0
2700,Zx9eEpQdHRLnIr+eE/z1ewZJnfbcYIfKPi/haR8nLmnOcEtHKrvI7SnY6zbHlP5z,5.8757,11.379844,18.273705,0,1002900,83.278985,Delay-insensitive,4,7.0
