timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,0.912902,1.843919,3.060621,0,2591700,16.172374,Delay-insensitive,1,1.75
300,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.366049,1.7468990000000002,2.612467,0,2591700,16.172374,Delay-insensitive,1,1.75
600,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.29395,1.929229,2.497462,0,2591700,16.172374,Delay-insensitive,1,1.75
900,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.382375,1.878161,2.966701,0,2591700,16.172374,Delay-insensitive,1,1.75
1200,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.236002,4.738630000000001,33.18228,0,2591700,16.172374,Delay-insensitive,1,1.75
1500,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.34365,1.889767,2.999012,0,2591700,16.172374,Delay-insensitive,1,1.75
1800,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.396264,1.976454,3.036477,0,2591700,16.172374,Delay-insensitive,1,1.75
2100,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.3959629999999998,1.790095,2.4144970000000003,0,2591700,16.172374,Delay-insensitive,1,1.75
2400,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.329991,1.815521,2.441509,0,2591700,16.172374,Delay-insensitive,1,1.75
2700,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.3689790000000002,1.924701,3.067816,0,2591700,16.172374,Delay-insensitive,1,1.75
3000,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.406772,2.13998,4.8498410000000005,0,2591700,16.172374,Delay-insensitive,1,1.75
3300,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.427254,1.863595,2.499323,0,2591700,16.172374,Delay-insensitive,1,1.75
3600,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.4232,1.912115,3.014132,0,2591700,16.172374,Delay-insensitive,1,1.75
3900,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.182025,1.634069,2.415516,0,2591700,16.172374,Delay-insensitive,1,1.75
4200,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.332231,1.8432,2.460362,0,2591700,16.172374,Delay-insensitive,1,1.75
4500,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.134225,1.870008,2.890482,0,2591700,16.172374,Delay-insensitive,1,1.75
4800,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.204978,4.81532,28.523555,0,2591700,16.172374,Delay-insensitive,1,1.75
5100,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.3673110000000002,1.807512,2.413139,0,2591700,16.172374,Delay-insensitive,1,1.75
5400,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.117542,1.871744,2.897829,0,2591700,16.172374,Delay-insensitive,1,1.75
5700,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.364066,1.710594,2.305083,0,2591700,16.172374,Delay-insensitive,1,1.75
6000,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.324186,1.829979,3.233141,0,2591700,16.172374,Delay-insensitive,1,1.75
6300,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.345407,1.907148,3.142306,0,2591700,16.172374,Delay-insensitive,1,1.75
6600,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.345831,1.778877,2.511229,0,2591700,16.172374,Delay-insensitive,1,1.75
6900,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.348936,1.847457,3.285415,0,2591700,16.172374,Delay-insensitive,1,1.75
7200,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.162006,1.88464,3.04735,0,2591700,16.172374,Delay-insensitive,1,1.75
7500,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.346155,1.736882,2.5746,0,2591700,16.172374,Delay-insensitive,1,1.75
7800,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.37783,1.871167,3.148273,0,2591700,16.172374,Delay-insensitive,1,1.75
8100,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.393432,1.958827,3.173566,0,2591700,16.172374,Delay-insensitive,1,1.75
8400,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.365333,4.821329,32.925093,0,2591700,16.172374,Delay-insensitive,1,1.75
8700,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,0.890357,1.773103,3.251722,0,2591700,16.172374,Delay-insensitive,1,1.75
9000,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.339179,1.92798,3.499635,0,2591700,16.172374,Delay-insensitive,1,1.75
9300,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.196038,1.661563,2.5402560000000003,0,2591700,16.172374,Delay-insensitive,1,1.75
9600,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.400173,1.85773,3.128746,0,2591700,16.172374,Delay-insensitive,1,1.75
9900,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.38794,1.94243,3.247113,0,2591700,16.172374,Delay-insensitive,1,1.75
10200,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.261526,1.7553419999999995,2.790004,0,2591700,16.172374,Delay-insensitive,1,1.75
10500,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.36669,1.885366,3.350522,0,2591700,16.172374,Delay-insensitive,1,1.75
10800,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.37911,1.938585,3.0356240000000003,0,2591700,16.172374,Delay-insensitive,1,1.75
11100,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.349471,1.712321,2.487735,0,2591700,16.172374,Delay-insensitive,1,1.75
11400,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.243816,1.818119,3.204079,0,2591700,16.172374,Delay-insensitive,1,1.75
11700,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.395499,1.920653,3.144319,0,2591700,16.172374,Delay-insensitive,1,1.75
12000,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,0.975451,1.640061,2.467949,0,2591700,16.172374,Delay-insensitive,1,1.75
12300,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.400991,4.29748,18.343107,0,2591700,16.172374,Delay-insensitive,1,1.75
12600,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.03987,1.843765,3.048835,0,2591700,16.172374,Delay-insensitive,1,1.75
12900,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.38784,1.7025549999999998,2.5179150000000003,0,2591700,16.172374,Delay-insensitive,1,1.75
13200,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.37422,1.854589,3.217816,0,2591700,16.172374,Delay-insensitive,1,1.75
13500,a719++ppQl4wtzyf8YGsbRwyGuhbEO2lC2vqr9+/TQjRlbOhYM5brwpeYV0u7Kim,1.37913,1.886051,3.143251,0,2591700,16.172374,Delay-insensitive,1,1.75
