timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.61761,4.1051,6.339942,0,2591700,20.298179,Interactive,1,1.75
300,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.342281,3.934056,4.827478,0,2591700,20.298179,Interactive,1,1.75
600,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.133719,4.160499,8.282735,0,2591700,20.298179,Interactive,1,1.75
900,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.088124,3.846483,5.720521,0,2591700,20.298179,Interactive,1,1.75
1200,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.226178,3.695349,4.431247,0,2591700,20.298179,Interactive,1,1.75
1500,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.25671,4.058251,5.417265,0,2591700,20.298179,Interactive,1,1.75
1800,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.250329,3.832591,5.577463,0,2591700,20.298179,Interactive,1,1.75
2100,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.206561,3.77192,4.725825,0,2591700,20.298179,Interactive,1,1.75
2400,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.220815,4.063748,5.646778,0,2591700,20.298179,Interactive,1,1.75
2700,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.410136,4.053511,5.807893,0,2591700,20.298179,Interactive,1,1.75
3000,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.513491,6.402186,27.427542,0,2591700,20.298179,Interactive,1,1.75
3300,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.3718440000000003,4.034276,5.595564,0,2591700,20.298179,Interactive,1,1.75
3600,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.188961,4.443309999999999,9.709221,0,2591700,20.298179,Interactive,1,1.75
3900,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.133531,3.722896,4.649384,0,2591700,20.298179,Interactive,1,1.75
4200,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.240826,4.946723,13.845532,0,2591700,20.298179,Interactive,1,1.75
4500,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.168093,3.821914,5.622916,0,2591700,20.298179,Interactive,1,1.75
4800,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,2.973854,3.580601,4.510372,0,2591700,20.298179,Interactive,1,1.75
5100,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,2.869377,3.726117,5.190237000000001,0,2591700,20.298179,Interactive,1,1.75
5400,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.04387,3.607322,5.435341,0,2591700,20.298179,Interactive,1,1.75
5700,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,2.931944,3.521902,4.451031,0,2591700,20.298179,Interactive,1,1.75
6000,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.023763,3.682476,4.932007,0,2591700,20.298179,Interactive,1,1.75
6300,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.258625,3.860974,5.28229,0,2591700,20.298179,Interactive,1,1.75
6600,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.237905,6.095544,27.790655,0,2591700,20.298179,Interactive,1,1.75
6900,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.261517,7.360794,27.306028,0,2591700,20.298179,Interactive,1,1.75
7200,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.227433,3.865729,5.662022,0,2591700,20.298179,Interactive,1,1.75
7500,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.137276,3.755803,4.674462,0,2591700,20.298179,Interactive,1,1.75
7800,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.310768,3.924125,5.278942,0,2591700,20.298179,Interactive,1,1.75
8100,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.379104,3.85903,5.666605000000001,0,2591700,20.298179,Interactive,1,1.75
8400,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.253918,3.824493,4.688948,0,2591700,20.298179,Interactive,1,1.75
8700,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.212039,3.857186,5.1836720000000005,0,2591700,20.298179,Interactive,1,1.75
9000,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.159059,3.932259,5.473424,0,2591700,20.298179,Interactive,1,1.75
9300,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.219509,3.861718,4.340481,0,2591700,20.298179,Interactive,1,1.75
9600,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.132766,3.656585,4.909798,0,2591700,20.298179,Interactive,1,1.75
9900,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.26325,3.844665,5.011385,0,2591700,20.298179,Interactive,1,1.75
10200,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.267342,6.200994000000001,16.304673,0,2591700,20.298179,Interactive,1,1.75
10500,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.228683,3.93051,5.768168,0,2591700,20.298179,Interactive,1,1.75
10800,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.157473,3.786483,4.81829,0,2591700,20.298179,Interactive,1,1.75
11100,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.231463,3.633018,4.301136,0,2591700,20.298179,Interactive,1,1.75
11400,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.256,4.050628,5.736851000000001,0,2591700,20.298179,Interactive,1,1.75
11700,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.138174,3.810754,5.082003,0,2591700,20.298179,Interactive,1,1.75
12000,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.425903,3.993605,5.565957,0,2591700,20.298179,Interactive,1,1.75
12300,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.380034,3.708077,4.719697,0,2591700,20.298179,Interactive,1,1.75
12600,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,2.547894,3.724414,5.019901,0,2591700,20.298179,Interactive,1,1.75
12900,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.1802490000000003,3.763054,4.726437000000001,0,2591700,20.298179,Interactive,1,1.75
13200,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.162912,3.687919,5.202015,0,2591700,20.298179,Interactive,1,1.75
13500,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.34283,4.015594999999999,4.980134,0,2591700,20.298179,Interactive,1,1.75
13800,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,2.955196,6.032637,27.278992,0,2591700,20.298179,Interactive,1,1.75
14100,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.064826,3.875724,5.772730999999999,0,2591700,20.298179,Interactive,1,1.75
14400,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,2.637871,3.670017,5.120743,0,2591700,20.298179,Interactive,1,1.75
14700,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.340875,3.860578,4.962649,0,2591700,20.298179,Interactive,1,1.75
15000,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.083294,3.634877,4.753775,0,2591700,20.298179,Interactive,1,1.75
15300,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,2.593168,3.411099,4.382431,0,2591700,20.298179,Interactive,1,1.75
15600,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.065348,3.671327,4.532897,0,2591700,20.298179,Interactive,1,1.75
15900,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.017537,3.5777120000000004,5.123593,0,2591700,20.298179,Interactive,1,1.75
16200,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.029783,3.666506,4.654105,0,2591700,20.298179,Interactive,1,1.75
16500,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,3.011964,3.462616,4.070639,0,2591700,20.298179,Interactive,1,1.75
16800,aDU7bd0zrzJFv5bf/MuonLqBYLytgQEvzjdisjcY9g9BFt17iN3yCnAcpttlcG52,2.946874,3.768497,5.403489,0,2591700,20.298179,Interactive,1,1.75
