timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001347,0.392053,2.361749,0,2591700,3.845011,Delay-insensitive,4,7.0
300,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.270737,1.340626,0,2591700,3.845011,Delay-insensitive,4,7.0
600,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001277,0.278207,1.328095,0,2591700,3.845011,Delay-insensitive,4,7.0
900,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001056,0.395752,3.256087,0,2591700,3.845011,Delay-insensitive,4,7.0
1200,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.293753,1.401374,0,2591700,3.845011,Delay-insensitive,4,7.0
1500,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001495,0.30276,1.456879,0,2591700,3.845011,Delay-insensitive,4,7.0
1800,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.348786,2.394407,0,2591700,3.845011,Delay-insensitive,4,7.0
2100,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001347,0.405192,2.620084,0,2591700,3.845011,Delay-insensitive,4,7.0
2400,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.342354,1.781851,0,2591700,3.845011,Delay-insensitive,4,7.0
2700,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001973,0.345706,2.377555,0,2591700,3.845011,Delay-insensitive,4,7.0
3000,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.2491429999999999,1.212448,0,2591700,3.845011,Delay-insensitive,4,7.0
3300,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.238959,1.028546,0,2591700,3.845011,Delay-insensitive,4,7.0
3600,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0009199999999999,0.351565,3.258931,0,2591700,3.845011,Delay-insensitive,4,7.0
3900,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.002165,0.2701639999999999,1.170243,0,2591700,3.845011,Delay-insensitive,4,7.0
4200,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.002492,0.305261,1.200854,0,2591700,3.845011,Delay-insensitive,4,7.0
4500,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001675,0.314353,2.980642,0,2591700,3.845011,Delay-insensitive,4,7.0
4800,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.003283,0.319078,1.468988,0,2591700,3.845011,Delay-insensitive,4,7.0
5100,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.002644,0.266928,1.183895,0,2591700,3.845011,Delay-insensitive,4,7.0
5400,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.000892,0.3699739999999999,3.151466,0,2591700,3.845011,Delay-insensitive,4,7.0
5700,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.2852679999999999,1.383009,0,2591700,3.845011,Delay-insensitive,4,7.0
6000,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001893,0.271078,1.42701,0,2591700,3.845011,Delay-insensitive,4,7.0
6300,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.002049,0.337273,2.419827,0,2591700,3.845011,Delay-insensitive,4,7.0
6600,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.000947,0.24658,1.209293,0,2591700,3.845011,Delay-insensitive,4,7.0
6900,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001246,0.279669,1.111032,0,2591700,3.845011,Delay-insensitive,4,7.0
7200,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.002339,0.305876,2.180967,0,2591700,3.845011,Delay-insensitive,4,7.0
7500,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.000916,0.284051,1.295905,0,2591700,3.845011,Delay-insensitive,4,7.0
7800,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.232932,1.181412,0,2591700,3.845011,Delay-insensitive,4,7.0
8100,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0033,0.355385,3.046878,0,2591700,3.845011,Delay-insensitive,4,7.0
8400,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.285006,1.614684,0,2591700,3.845011,Delay-insensitive,4,7.0
8700,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.002592,1.140343,17.883657,0,2591700,3.845011,Delay-insensitive,4,7.0
9000,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0014269999999999,0.391781,2.464958,0,2591700,3.845011,Delay-insensitive,4,7.0
9300,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.305089,1.24812,0,2591700,3.845011,Delay-insensitive,4,7.0
9600,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.001535,2.930701,60.35986,0,2591700,3.845011,Delay-insensitive,4,7.0
9900,aDWc03zmOOhciPXwWEIUgmqw61pLqH7R8X4BBHeRpyCzGDS01e6w/Rp5239CTXmd,0.0,0.366656,2.515709,0,2591700,3.845011,Delay-insensitive,4,7.0
