timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.674199,2.851901,3.037346,0,2365800,3.489454,Delay-insensitive,1,1.75
300,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.790305,2.898782,3.159121,0,2365800,3.489454,Delay-insensitive,1,1.75
600,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.76667,2.908707,3.264811,0,2365800,3.489454,Delay-insensitive,1,1.75
900,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.731237,2.879188,3.169351,0,2365800,3.489454,Delay-insensitive,1,1.75
1200,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.701245,2.878911,2.987117,0,2365800,3.489454,Delay-insensitive,1,1.75
1500,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.745085,2.917179,3.102864,0,2365800,3.489454,Delay-insensitive,1,1.75
1800,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.775773,2.920725,3.317995,0,2365800,3.489454,Delay-insensitive,1,1.75
2100,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.672127,2.839557,3.049739,0,2365800,3.489454,Delay-insensitive,1,1.75
2400,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.7735220000000003,2.881772,3.035235,0,2365800,3.489454,Delay-insensitive,1,1.75
2700,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.7122330000000003,2.860127,3.039368,0,2365800,3.489454,Delay-insensitive,1,1.75
3000,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.746581,2.877047,3.038737,0,2365800,3.489454,Delay-insensitive,1,1.75
3300,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.7495830000000003,2.878361,3.049721,0,2365800,3.489454,Delay-insensitive,1,1.75
3600,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.706298,2.860639,2.996238,0,2365800,3.489454,Delay-insensitive,1,1.75
3900,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.77393,2.888459,3.102074,0,2365800,3.489454,Delay-insensitive,1,1.75
4200,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.765803,2.880004,3.058463,0,2365800,3.489454,Delay-insensitive,1,1.75
4500,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.770435,2.888113,3.021048,0,2365800,3.489454,Delay-insensitive,1,1.75
4800,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.64689,2.889758,2.967628,0,2365800,3.489454,Delay-insensitive,1,1.75
5100,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.835025,2.91869,3.130582,0,2365800,3.489454,Delay-insensitive,1,1.75
5400,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.491736,2.884747,3.416332,0,2365800,3.489454,Delay-insensitive,1,1.75
5700,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.728072,2.8981060000000003,3.00748,0,2365800,3.489454,Delay-insensitive,1,1.75
6000,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.754626,2.928954,3.342225,0,2365800,3.489454,Delay-insensitive,1,1.75
6300,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.726402,2.919485,3.079697,0,2365800,3.489454,Delay-insensitive,1,1.75
6600,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.671664,2.893057,3.063087,0,2365800,3.489454,Delay-insensitive,1,1.75
6900,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.557573,2.852978,2.979962,0,2365800,3.489454,Delay-insensitive,1,1.75
7200,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.7026220000000003,2.888387,3.036494,0,2365800,3.489454,Delay-insensitive,1,1.75
7500,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.567086,2.902642,3.072032,0,2365800,3.489454,Delay-insensitive,1,1.75
7800,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.730353,2.903147,3.069124,0,2365800,3.489454,Delay-insensitive,1,1.75
8100,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.535723,2.847284,3.0241580000000003,0,2365800,3.489454,Delay-insensitive,1,1.75
8400,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.753883,2.899042,2.974657,0,2365800,3.489454,Delay-insensitive,1,1.75
8700,aHcf/gBLy8Z47E/XVQDTuCE/fpQ2kX6Vj7/ZZy/CNQIlbh3FDdupuCFQUFITG6+f,2.814029,3.000666,3.616788,0,2365800,3.489454,Delay-insensitive,1,1.75
