timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.687469,2.249678,3.310207,0,2591700,21.284692,Delay-insensitive,1,0.75
300,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.339992,2.125876,2.889863,0,2591700,21.284692,Delay-insensitive,1,0.75
600,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.575562,2.177988,3.462324,0,2591700,21.284692,Delay-insensitive,1,0.75
900,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.0503280000000002,2.0727740000000003,3.089102,0,2591700,21.284692,Delay-insensitive,1,0.75
1200,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.578031,2.054352,2.661782,0,2591700,21.284692,Delay-insensitive,1,0.75
1500,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.070618,2.126248,3.717479,0,2591700,21.284692,Delay-insensitive,1,0.75
1800,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.593883,5.997826,39.177595,0,2591700,21.284692,Delay-insensitive,1,0.75
2100,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.731259,2.111771,2.777142,0,2591700,21.284692,Delay-insensitive,1,0.75
2400,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.682249,2.289483,3.497875,0,2591700,21.284692,Delay-insensitive,1,0.75
2700,aJHNs+HlZAR0bc/gVyQBTu/BHcs1NImiIQTplyxK7z5Gzuu/xyX5db/ZW+EAbvq9,1.740877,2.289911,3.250823,0,2591700,21.284692,Delay-insensitive,1,0.75
