timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,2.111304,12.627526,70.102384,0,908400,74.895921,Interactive,8,14.0
300,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,3.934528,10.484979,31.242647,0,908400,74.895921,Interactive,8,14.0
600,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,2.514085,12.464154,40.733058,0,908400,74.895921,Interactive,8,14.0
900,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,0.3577889999999999,9.066029,24.231415,0,908400,74.895921,Interactive,8,14.0
1200,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,4.375916,11.202586,34.732657,0,908400,74.895921,Interactive,8,14.0
1500,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,0.4001699999999999,11.19868,36.332648,0,908400,74.895921,Interactive,8,14.0
1800,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,3.926352,10.498801,41.485894,0,908400,74.895921,Interactive,8,14.0
2100,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,0.236314,11.503258,27.36566,0,908400,74.895921,Interactive,8,14.0
2400,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,4.249075,10.415633,40.810457,0,908400,74.895921,Interactive,8,14.0
2700,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,0.46729,10.191099,34.461711,0,908400,74.895921,Interactive,8,14.0
3000,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,3.775934,9.452623,28.828093,0,908400,74.895921,Interactive,8,14.0
3300,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,1.069267,11.296036,34.487944,0,908400,74.895921,Interactive,8,14.0
3600,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,0.345066,9.21367,26.08701,0,908400,74.895921,Interactive,8,14.0
3900,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,3.974645,10.470545,39.635159,0,908400,74.895921,Interactive,8,14.0
4200,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,0.592006,12.648362,99.380087,0,908400,74.895921,Interactive,8,14.0
4500,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,3.728897,10.021746,28.835111,0,908400,74.895921,Interactive,8,14.0
4800,aeffPMuDiAXWIO2FYJjdd7o8U7/z3x4qZohhS7LSUt2k8zkb3XONOELSQ5RlnqAX,0.259213,11.874249,34.274421999999994,0,908400,74.895921,Interactive,8,14.0
