timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.123904,3.936413,5.576196,0,2591700,22.126643,Delay-insensitive,1,1.75
300,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.075504,5.926476999999999,26.477909000000004,0,2591700,22.126643,Delay-insensitive,1,1.75
600,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,2.999391,3.877245,4.910004,0,2591700,22.126643,Delay-insensitive,1,1.75
900,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.137976,3.789757,5.474181,0,2591700,22.126643,Delay-insensitive,1,1.75
1200,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.0430650000000004,3.775313,4.847381,0,2591700,22.126643,Delay-insensitive,1,1.75
1500,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.10974,3.92332,4.884284,0,2591700,22.126643,Delay-insensitive,1,1.75
1800,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.097118,3.78084,5.405145,0,2591700,22.126643,Delay-insensitive,1,1.75
2100,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.085415,3.838652,4.921318,0,2591700,22.126643,Delay-insensitive,1,1.75
2400,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,2.984449,4.051583,5.755484,0,2591700,22.126643,Delay-insensitive,1,1.75
2700,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.357254,18.21399,68.889114,0,2591700,22.126643,Delay-insensitive,1,1.75
3000,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,2.795424,4.924362,14.831328,0,2591700,22.126643,Delay-insensitive,1,1.75
3300,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.270851,4.029643,4.919201,0,2591700,22.126643,Delay-insensitive,1,1.75
3600,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,2.936383,3.919653,6.31958,0,2591700,22.126643,Delay-insensitive,1,1.75
3900,aggkTj7dNGEcZ164L9MLXep9X8od87rIAQu5tPt36xm9gdvsv9XDF1p2oXzGcq2Q,3.115502,3.876782,4.805846,0,2591700,22.126643,Delay-insensitive,1,1.75
