timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.339928,15.668771,47.826763,0,2591700,48.128944,Delay-insensitive,4,7.0
300,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.16901,13.00149,47.970263,0,2591700,48.128944,Delay-insensitive,4,7.0
600,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.0613649999999999,13.66506,48.050761,0,2591700,48.128944,Delay-insensitive,4,7.0
900,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.466283,14.277107999999998,47.950528000000006,0,2591700,48.128944,Delay-insensitive,4,7.0
1200,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.32535,14.938016,47.989653,0,2591700,48.128944,Delay-insensitive,4,7.0
1500,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.252222,13.010698,52.372728,0,2591700,48.128944,Delay-insensitive,4,7.0
1800,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.218954,13.246285999999998,47.90881,0,2591700,48.128944,Delay-insensitive,4,7.0
2100,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.253315,16.144798,47.691261,0,2591700,48.128944,Delay-insensitive,4,7.0
2400,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.383644,13.169099,48.627985,0,2591700,48.128944,Delay-insensitive,4,7.0
2700,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.067731,13.574277,55.843744,0,2591700,48.128944,Delay-insensitive,4,7.0
3000,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.263581,13.411919,47.801108,0,2591700,48.128944,Delay-insensitive,4,7.0
3300,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.091571,15.996131,56.09469300000001,0,2591700,48.128944,Delay-insensitive,4,7.0
3600,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.196257,12.932341,47.860102000000005,0,2591700,48.128944,Delay-insensitive,4,7.0
3900,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.1955829999999999,13.609322,56.163528,0,2591700,48.128944,Delay-insensitive,4,7.0
4200,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.131175,13.563784,55.127106000000005,0,2591700,48.128944,Delay-insensitive,4,7.0
4500,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.396841,16.199185,48.605984,0,2591700,48.128944,Delay-insensitive,4,7.0
4800,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.018728,12.60449,48.106772,0,2591700,48.128944,Delay-insensitive,4,7.0
5100,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.2142239999999999,13.140579,47.9573,0,2591700,48.128944,Delay-insensitive,4,7.0
5400,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.128597,13.88962,55.224064,0,2591700,48.128944,Delay-insensitive,4,7.0
5700,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.336996,16.058182000000002,47.601955,0,2591700,48.128944,Delay-insensitive,4,7.0
6000,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.041312,12.89889,47.798416,0,2591700,48.128944,Delay-insensitive,4,7.0
6300,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.168759,12.928192999999998,48.032634,0,2591700,48.128944,Delay-insensitive,4,7.0
6600,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.224987,13.443294,56.0837,0,2591700,48.128944,Delay-insensitive,4,7.0
6900,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.098399,15.804085,52.668483,0,2591700,48.128944,Delay-insensitive,4,7.0
7200,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.178336,12.709078,47.726364,0,2591700,48.128944,Delay-insensitive,4,7.0
7500,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.070712,12.701676,47.800086,0,2591700,48.128944,Delay-insensitive,4,7.0
7800,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.188321,12.995774,47.580026,0,2591700,48.128944,Delay-insensitive,4,7.0
8100,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.129892,15.40801,48.174441,0,2591700,48.128944,Delay-insensitive,4,7.0
8400,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.1749079999999999,13.09858,47.607543,0,2591700,48.128944,Delay-insensitive,4,7.0
8700,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.085377,13.660018,55.507388,0,2591700,48.128944,Delay-insensitive,4,7.0
9000,alhTxIRV8m1DoMd2XGhnW+uJSALQopD1lRuFg/FkgK3Hv2DL0nRy+pK7Pqco4Q9t,0.298555,14.670434,47.828781,0,2591700,48.128944,Delay-insensitive,4,7.0
