timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.527802,2.572772,40.690602,0,2591700,17.783768,Interactive,4,7.0
300,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.428689,0.8580959999999999,1.7357490000000002,0,2591700,17.783768,Interactive,4,7.0
600,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.539748,0.910733,1.7179349999999998,0,2591700,17.783768,Interactive,4,7.0
900,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.365771,1.084818,7.426067,0,2591700,17.783768,Interactive,4,7.0
1200,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.260342,0.812415,1.687295,0,2591700,17.783768,Interactive,4,7.0
1500,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.551455,1.5830000000000002,10.24049,0,2591700,17.783768,Interactive,4,7.0
1800,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.451346,1.043292,3.655845,0,2591700,17.783768,Interactive,4,7.0
2100,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.576014,0.845289,1.4552770000000002,0,2591700,17.783768,Interactive,4,7.0
2400,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.4859819999999999,0.896595,1.595934,0,2591700,17.783768,Interactive,4,7.0
2700,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.5652020000000001,1.066562,6.431609,0,2591700,17.783768,Interactive,4,7.0
3000,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.4544859999999999,0.857025,1.654084,0,2591700,17.783768,Interactive,4,7.0
3300,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.4543819999999999,0.918557,1.598456,0,2591700,17.783768,Interactive,4,7.0
3600,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.32724,1.064895,5.21915,0,2591700,17.783768,Interactive,4,7.0
3900,amlV6ELnX6c2zP4/teNnlrAtuWFbTTAxVCTEdtSoXKKMyMuJQhqczUWf/M+cgwNP,0.348987,0.8412790000000001,1.3490719999999998,0,2591700,17.783768,Interactive,4,7.0
