timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.295131,1.262241,4.456482,0,2121600,22.957985,Delay-insensitive,4,7.0
300,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.232278,1.009038,3.801379,0,2121600,22.957985,Delay-insensitive,4,7.0
600,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.337559,1.215016,3.621782,0,2121600,22.957985,Delay-insensitive,4,7.0
900,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.167105,1.034739,3.834915,0,2121600,22.957985,Delay-insensitive,4,7.0
1200,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.335599,1.225745,3.905327,0,2121600,22.957985,Delay-insensitive,4,7.0
1500,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.2478139999999999,1.010538,3.7022,0,2121600,22.957985,Delay-insensitive,4,7.0
1800,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.266159,2.198132,44.771675,0,2121600,22.957985,Delay-insensitive,4,7.0
2100,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.263605,1.219559,4.886522,0,2121600,22.957985,Delay-insensitive,4,7.0
2400,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.158316,1.065783,3.743854,0,2121600,22.957985,Delay-insensitive,4,7.0
2700,ZVGHpz7z6x0qigwKpebr5tgnxJfJYVZsPXZ+mwMrADzxagi0Nz9IkPNa7EnJmurO,0.300301,1.166644,3.728563,0,2121600,22.957985,Delay-insensitive,4,7.0
