timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.55769,1.04801,2.351664,0,2591700,8.461289,Delay-insensitive,4,7.0
300,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.484271,0.974281,1.922682,0,2591700,8.461289,Delay-insensitive,4,7.0
600,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.4810819999999999,1.030201,2.261591,0,2591700,8.461289,Delay-insensitive,4,7.0
900,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.471152,0.995189,2.302902,0,2591700,8.461289,Delay-insensitive,4,7.0
1200,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.40197,0.962956,1.956264,0,2591700,8.461289,Delay-insensitive,4,7.0
1500,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.449922,1.004493,2.161479,0,2591700,8.461289,Delay-insensitive,4,7.0
1800,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.432525,0.991987,1.915262,0,2591700,8.461289,Delay-insensitive,4,7.0
2100,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.473875,1.470821,9.994956,0,2591700,8.461289,Delay-insensitive,4,7.0
2400,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.560365,1.033144,2.791915,0,2591700,8.461289,Delay-insensitive,4,7.0
2700,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.4036949999999999,0.984897,1.784802,0,2591700,8.461289,Delay-insensitive,4,7.0
3000,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.484638,0.969979,1.834664,0,2591700,8.461289,Delay-insensitive,4,7.0
3300,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.541532,0.967157,1.904726,0,2591700,8.461289,Delay-insensitive,4,7.0
3600,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.41635,1.007093,1.84455,0,2591700,8.461289,Delay-insensitive,4,7.0
3900,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.463404,0.967954,1.938083,0,2591700,8.461289,Delay-insensitive,4,7.0
4200,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.463528,1.035482,2.427307,0,2591700,8.461289,Delay-insensitive,4,7.0
4500,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.508516,1.017205,2.217675,0,2591700,8.461289,Delay-insensitive,4,7.0
4800,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.4488069999999999,0.929194,1.949285,0,2591700,8.461289,Delay-insensitive,4,7.0
5100,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.482946,0.990198,2.089849,0,2591700,8.461289,Delay-insensitive,4,7.0
5400,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.350466,0.954589,1.846359,0,2591700,8.461289,Delay-insensitive,4,7.0
5700,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.429094,1.478096,7.079476,0,2591700,8.461289,Delay-insensitive,4,7.0
6000,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.351635,1.000112,2.051539,0,2591700,8.461289,Delay-insensitive,4,7.0
6300,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.493218,1.009083,1.943004,0,2591700,8.461289,Delay-insensitive,4,7.0
6600,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.472313,0.932312,1.7849130000000002,0,2591700,8.461289,Delay-insensitive,4,7.0
6900,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.456555,0.981625,2.036809,0,2591700,8.461289,Delay-insensitive,4,7.0
7200,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.491785,1.032342,2.779046,0,2591700,8.461289,Delay-insensitive,4,7.0
7500,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.368347,0.925119,1.972259,0,2591700,8.461289,Delay-insensitive,4,7.0
7800,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.48791,1.031174,2.064979,0,2591700,8.461289,Delay-insensitive,4,7.0
8100,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.37972,0.991214,2.2614810000000003,0,2591700,8.461289,Delay-insensitive,4,7.0
8400,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.468113,0.964359,1.952544,0,2591700,8.461289,Delay-insensitive,4,7.0
8700,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.4163449999999999,1.004224,1.910678,0,2591700,8.461289,Delay-insensitive,4,7.0
9000,ZYDcTvKVpd6i4pqO/Cd6IJMS95c87bKO9BAE+0+fsvnGiJgaIvpda+s6ME6+2yyg,0.394181,1.014226,2.007032,0,2591700,8.461289,Delay-insensitive,4,7.0
