timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,17.161412,32.78276,45.415747,0,329700,55.862153,Delay-insensitive,1,1.75
300,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,12.933935,35.732504,46.852211,0,329700,55.862153,Delay-insensitive,1,1.75
600,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,33.293045,42.19842,49.709156,0,329700,55.862153,Delay-insensitive,1,1.75
900,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,17.597873,42.321859,48.681595,0,329700,55.862153,Delay-insensitive,1,1.75
1200,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,6.284909,39.718065,51.869592,0,329700,55.862153,Delay-insensitive,1,1.75
1500,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,16.883684,36.704197,52.118472,0,329700,55.862153,Delay-insensitive,1,1.75
1800,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,15.703776,41.196188,49.99048,0,329700,55.862153,Delay-insensitive,1,1.75
2100,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,7.486486999999999,19.813936,33.323299,0,329700,55.862153,Delay-insensitive,1,1.75
2400,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,0.354823,13.854133,21.539394,0,329700,55.862153,Delay-insensitive,1,1.75
2700,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,6.509155000000001,26.949243,49.148025,0,329700,55.862153,Delay-insensitive,1,1.75
3000,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,8.142439999999999,34.290805,57.203391,0,329700,55.862153,Delay-insensitive,1,1.75
3300,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,15.793201000000002,41.583455,51.323054,0,329700,55.862153,Delay-insensitive,1,1.75
3600,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,8.07655,30.173964,49.814844,0,329700,55.862153,Delay-insensitive,1,1.75
3900,Ztw74oCBFkjCndKzjT4XJMdd/xmAILHOFrJNR/DNWI+CEJVU/xjWxyfcauj8ix9O,6.706791,10.967195,31.490756,0,329700,55.862153,Delay-insensitive,1,1.75
