timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.31396,2.613464,2.895891,0,2591700,5.739599,Delay-insensitive,1,1.75
300,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.536207,2.6330310000000003,2.759098,0,2591700,5.739599,Delay-insensitive,1,1.75
600,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.353785,2.643598,3.062821,0,2591700,5.739599,Delay-insensitive,1,1.75
900,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.510505,2.621119,2.769021,0,2591700,5.739599,Delay-insensitive,1,1.75
1200,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.369964,2.680957,3.475737,0,2591700,5.739599,Delay-insensitive,1,1.75
1500,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.425509,2.958376,5.018013,0,2591700,5.739599,Delay-insensitive,1,1.75
1800,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.354166,2.6447540000000003,3.18097,0,2591700,5.739599,Delay-insensitive,1,1.75
2100,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.530383,2.631253,2.740253,0,2591700,5.739599,Delay-insensitive,1,1.75
2400,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.311159,2.553526,2.690894,0,2591700,5.739599,Delay-insensitive,1,1.75
2700,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.436285,2.641394,2.915191,0,2591700,5.739599,Delay-insensitive,1,1.75
3000,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.390521,2.594989,2.671618,0,2591700,5.739599,Delay-insensitive,1,1.75
3300,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.344987,2.90259,4.175344,0,2591700,5.739599,Delay-insensitive,1,1.75
3600,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.379576,2.620194,2.847977,0,2591700,5.739599,Delay-insensitive,1,1.75
3900,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.50333,2.686779,3.167323,0,2591700,5.739599,Delay-insensitive,1,1.75
4200,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.358045,2.608655,2.762217,0,2591700,5.739599,Delay-insensitive,1,1.75
4500,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.524398,2.781687,4.061502,0,2591700,5.739599,Delay-insensitive,1,1.75
4800,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.345048,2.612579,2.776266,0,2591700,5.739599,Delay-insensitive,1,1.75
5100,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.120426,2.695881,3.243267,0,2591700,5.739599,Delay-insensitive,1,1.75
5400,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,1.8773,2.5553630000000003,2.754674,0,2591700,5.739599,Delay-insensitive,1,1.75
5700,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.547734,2.619166,2.750217,0,2591700,5.739599,Delay-insensitive,1,1.75
6000,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.387841,2.887451,5.767303,0,2591700,5.739599,Delay-insensitive,1,1.75
6300,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.475813,2.605111,2.759566,0,2591700,5.739599,Delay-insensitive,1,1.75
6600,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.325318,2.605534,2.739975,0,2591700,5.739599,Delay-insensitive,1,1.75
6900,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.439306,2.9474970000000003,5.128909999999999,0,2591700,5.739599,Delay-insensitive,1,1.75
7200,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.23288,2.574522,2.729351,0,2591700,5.739599,Delay-insensitive,1,1.75
7500,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.510992,2.663665,2.798563,0,2591700,5.739599,Delay-insensitive,1,1.75
7800,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.440089,2.609298,2.754134,0,2591700,5.739599,Delay-insensitive,1,1.75
8100,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.509261,2.711665,3.516986,0,2591700,5.739599,Delay-insensitive,1,1.75
8400,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.371686,2.584961,2.784886,0,2591700,5.739599,Delay-insensitive,1,1.75
8700,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.518536,3.114211,5.078016000000001,0,2591700,5.739599,Delay-insensitive,1,1.75
9000,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.355992,2.649671,2.808884,0,2591700,5.739599,Delay-insensitive,1,1.75
9300,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.514741,2.681752,3.260321,0,2591700,5.739599,Delay-insensitive,1,1.75
9600,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.397103,2.5968720000000003,2.742906,0,2591700,5.739599,Delay-insensitive,1,1.75
9900,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.419432,2.608731,2.781884,0,2591700,5.739599,Delay-insensitive,1,1.75
10200,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.330698,2.611239,2.760429,0,2591700,5.739599,Delay-insensitive,1,1.75
10500,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.246069,2.654521,3.064263,0,2591700,5.739599,Delay-insensitive,1,1.75
10800,Zwk0DrC9DAX/Q8gGBzoUCvbmvuFEBeWzsS+aeRMefIDmwcvdeOHiG0xkp4+CC8CX,2.338788,2.587124,2.751595,0,2591700,5.739599,Delay-insensitive,1,1.75
