timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.525893,1.951036,3.149884,0,2591700,6.199061,Delay-insensitive,2,3.5
300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.084337,1.814305,2.30187,0,2591700,6.199061,Delay-insensitive,2,3.5
600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.55452,2.183462,3.288533,0,2591700,6.199061,Delay-insensitive,2,3.5
900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.305011,1.903376,2.914134,0,2591700,6.199061,Delay-insensitive,2,3.5
1200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,0.92918,1.822906,2.449383,0,2591700,6.199061,Delay-insensitive,2,3.5
1500,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.521941,2.10924,3.560681,0,2591700,6.199061,Delay-insensitive,2,3.5
1800,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,0.754243,1.8792,2.901575,0,2591700,6.199061,Delay-insensitive,2,3.5
2100,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.4810290000000002,2.060766,2.7168,0,2591700,6.199061,Delay-insensitive,2,3.5
2400,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.132197,1.913046,2.490581,0,2591700,6.199061,Delay-insensitive,2,3.5
2700,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.6392529999999998,2.110744,3.195295,0,2591700,6.199061,Delay-insensitive,2,3.5
3000,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.088647,1.901318,3.4577440000000004,0,2591700,6.199061,Delay-insensitive,2,3.5
3300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.448569,1.957303,2.5299,0,2591700,6.199061,Delay-insensitive,2,3.5
3600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.556137,1.933329,2.528681,0,2591700,6.199061,Delay-insensitive,2,3.5
3900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,0.979599,1.7811669999999995,2.500181,0,2591700,6.199061,Delay-insensitive,2,3.5
4200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.4047,1.938852,2.630911,0,2591700,6.199061,Delay-insensitive,2,3.5
4500,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.084743,2.02738,3.849153,0,2591700,6.199061,Delay-insensitive,2,3.5
4800,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.463584,2.021249,3.126736,0,2591700,6.199061,Delay-insensitive,2,3.5
5100,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.324819,1.936658,2.62604,0,2591700,6.199061,Delay-insensitive,2,3.5
5400,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.522486,1.886348,2.607216,0,2591700,6.199061,Delay-insensitive,2,3.5
5700,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.333982,1.92323,3.729606,0,2591700,6.199061,Delay-insensitive,2,3.5
6000,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.534709,2.05812,3.245778,0,2591700,6.199061,Delay-insensitive,2,3.5
6300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.525942,1.893394,2.39901,0,2591700,6.199061,Delay-insensitive,2,3.5
6600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.437792,1.859664,2.512014,0,2591700,6.199061,Delay-insensitive,2,3.5
6900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.548368,2.0626830000000003,2.557516,0,2591700,6.199061,Delay-insensitive,2,3.5
7200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.451546,1.925197,2.370998,0,2591700,6.199061,Delay-insensitive,2,3.5
7500,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.585961,2.007945,3.572431,0,2591700,6.199061,Delay-insensitive,2,3.5
7800,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.449809,2.012081,2.902223,0,2591700,6.199061,Delay-insensitive,2,3.5
8100,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.508057,1.905444,2.566238,0,2591700,6.199061,Delay-insensitive,2,3.5
8400,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.503617,1.8449830000000005,2.800231,0,2591700,6.199061,Delay-insensitive,2,3.5
8700,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.583204,2.079113,4.014578,0,2591700,6.199061,Delay-insensitive,2,3.5
9000,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.435748,1.965485,2.691532,0,2591700,6.199061,Delay-insensitive,2,3.5
9300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.248645,2.020139,3.607221,0,2591700,6.199061,Delay-insensitive,2,3.5
9600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.558639,2.080881,3.85812,0,2591700,6.199061,Delay-insensitive,2,3.5
9900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.267033,1.910638,2.773855,0,2591700,6.199061,Delay-insensitive,2,3.5
10200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.44057,1.868407,2.501615,0,2591700,6.199061,Delay-insensitive,2,3.5
10500,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.063124,1.898197,3.024461,0,2591700,6.199061,Delay-insensitive,2,3.5
10800,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.445788,1.895561,2.457786,0,2591700,6.199061,Delay-insensitive,2,3.5
11100,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.047973,2.018973,3.642483,0,2591700,6.199061,Delay-insensitive,2,3.5
11400,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.441323,1.911126,2.807117,0,2591700,6.199061,Delay-insensitive,2,3.5
11700,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.623359,2.242696,5.449164,0,2591700,6.199061,Delay-insensitive,2,3.5
12000,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.594553,2.072087,3.103118,0,2591700,6.199061,Delay-insensitive,2,3.5
12300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.513263,1.921447,2.533716,0,2591700,6.199061,Delay-insensitive,2,3.5
12600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.321907,1.89963,2.770567,0,2591700,6.199061,Delay-insensitive,2,3.5
12900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.342468,1.853168,2.666468,0,2591700,6.199061,Delay-insensitive,2,3.5
13200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.458446,2.144129,3.942884,0,2591700,6.199061,Delay-insensitive,2,3.5
