timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,1.994477,5.069811,25.796483,0,2591700,24.672857,Delay-insensitive,1,1.75
300,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,2.0384740000000003,3.351226,5.432551999999999,0,2591700,24.672857,Delay-insensitive,1,1.75
600,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,2.004403,3.322945,8.031582,0,2591700,24.672857,Delay-insensitive,1,1.75
900,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,1.165597,2.625192,5.632511,0,2591700,24.672857,Delay-insensitive,1,1.75
1200,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,1.984723,2.789639,4.61561,0,2591700,24.672857,Delay-insensitive,1,1.75
1500,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,1.950507,2.650374,3.546989,0,2591700,24.672857,Delay-insensitive,1,1.75
1800,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,2.099294,2.904614,4.362092,0,2591700,24.672857,Delay-insensitive,1,1.75
2100,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,2.161654,2.89017,4.310144,0,2591700,24.672857,Delay-insensitive,1,1.75
2400,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,2.214097,2.862635,3.96996,0,2591700,24.672857,Delay-insensitive,1,1.75
2700,aCzpeF3ikVBuN8+ty0RaMy3p9wha+h8i47sQL/gBvdcAbVaNTGE5anUenuRU2hZD,2.030961,2.757714,4.097521,0,2591700,24.672857,Delay-insensitive,1,1.75
