timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.214709,0.90423,2.466303,0,2021400,12.637668,Delay-insensitive,4,7.0
300,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.191918,0.820873,2.465333,0,2021400,12.637668,Delay-insensitive,4,7.0
600,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.197603,0.8481069999999999,2.139157,0,2021400,12.637668,Delay-insensitive,4,7.0
900,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.209538,0.8088890000000001,2.351428,0,2021400,12.637668,Delay-insensitive,4,7.0
1200,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.210479,0.824365,2.315087,0,2021400,12.637668,Delay-insensitive,4,7.0
1500,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.111705,0.899503,2.124336,0,2021400,12.637668,Delay-insensitive,4,7.0
1800,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.203144,0.8460850000000001,2.475907,0,2021400,12.637668,Delay-insensitive,4,7.0
2100,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.086571,1.395694,14.325657,0,2021400,12.637668,Delay-insensitive,4,7.0
2400,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.101299,0.909583,2.973866,0,2021400,12.637668,Delay-insensitive,4,7.0
2700,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.199125,0.8453139999999999,2.018953,0,2021400,12.637668,Delay-insensitive,4,7.0
3000,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.0845279999999999,0.8117939999999999,2.285515,0,2021400,12.637668,Delay-insensitive,4,7.0
3300,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.2336739999999999,0.920966,2.56735,0,2021400,12.637668,Delay-insensitive,4,7.0
3600,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.139914,0.869924,2.143072,0,2021400,12.637668,Delay-insensitive,4,7.0
3900,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.223818,0.805709,2.272262,0,2021400,12.637668,Delay-insensitive,4,7.0
4200,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.255277,0.8500790000000001,2.208813,0,2021400,12.637668,Delay-insensitive,4,7.0
4500,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.2373199999999999,0.894883,2.325925,0,2021400,12.637668,Delay-insensitive,4,7.0
4800,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.226846,0.8367760000000001,2.215319,0,2021400,12.637668,Delay-insensitive,4,7.0
5100,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.297981,0.896898,2.378146,0,2021400,12.637668,Delay-insensitive,4,7.0
5400,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.056295,0.854902,2.488353,0,2021400,12.637668,Delay-insensitive,4,7.0
5700,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.208985,1.103643,9.27186,0,2021400,12.637668,Delay-insensitive,4,7.0
6000,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.272661,0.844723,2.186202,0,2021400,12.637668,Delay-insensitive,4,7.0
6300,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.142797,0.8691540000000001,2.167543,0,2021400,12.637668,Delay-insensitive,4,7.0
6600,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.192983,0.810063,2.101524,0,2021400,12.637668,Delay-insensitive,4,7.0
6900,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.130789,0.868049,2.159809,0,2021400,12.637668,Delay-insensitive,4,7.0
7200,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.170369,0.876806,2.200125,0,2021400,12.637668,Delay-insensitive,4,7.0
7500,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.148801,0.803269,2.125848,0,2021400,12.637668,Delay-insensitive,4,7.0
7800,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.2176739999999999,0.847317,2.215172,0,2021400,12.637668,Delay-insensitive,4,7.0
8100,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.134647,0.883274,2.111846,0,2021400,12.637668,Delay-insensitive,4,7.0
8400,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.071644,0.807079,2.290729,0,2021400,12.637668,Delay-insensitive,4,7.0
8700,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.218655,0.859769,2.3359330000000003,0,2021400,12.637668,Delay-insensitive,4,7.0
9000,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.149116,0.8378610000000001,2.018076,0,2021400,12.637668,Delay-insensitive,4,7.0
9300,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.216228,1.482565,12.840226,0,2021400,12.637668,Delay-insensitive,4,7.0
9600,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.228763,0.82435,2.05388,0,2021400,12.637668,Delay-insensitive,4,7.0
9900,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.204407,0.8582139999999999,2.294016,0,2021400,12.637668,Delay-insensitive,4,7.0
10200,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.249353,0.8184,2.228489,0,2021400,12.637668,Delay-insensitive,4,7.0
10500,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.249637,0.883545,2.23001,0,2021400,12.637668,Delay-insensitive,4,7.0
10800,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.157242,0.8838370000000001,2.225279,0,2021400,12.637668,Delay-insensitive,4,7.0
11100,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.237773,0.810715,2.213508,0,2021400,12.637668,Delay-insensitive,4,7.0
11400,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.287461,0.8716229999999999,2.275443,0,2021400,12.637668,Delay-insensitive,4,7.0
11700,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.275074,0.8693770000000001,2.076397,0,2021400,12.637668,Delay-insensitive,4,7.0
12000,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.185859,0.8533959999999999,2.278544,0,2021400,12.637668,Delay-insensitive,4,7.0
12300,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.180357,0.837717,1.983569,0,2021400,12.637668,Delay-insensitive,4,7.0
12600,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.20215,0.883231,2.005674,0,2021400,12.637668,Delay-insensitive,4,7.0
12900,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.087059,1.445184,19.213638,0,2021400,12.637668,Delay-insensitive,4,7.0
13200,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.234008,0.8474219999999999,2.194561,0,2021400,12.637668,Delay-insensitive,4,7.0
13500,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.162264,0.866287,2.293584,0,2021400,12.637668,Delay-insensitive,4,7.0
13800,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.195292,0.806963,2.222804,0,2021400,12.637668,Delay-insensitive,4,7.0
14100,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.2154989999999999,0.8788729999999999,2.239005,0,2021400,12.637668,Delay-insensitive,4,7.0
14400,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.196819,0.869826,2.113598,0,2021400,12.637668,Delay-insensitive,4,7.0
14700,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.2105469999999999,0.826693,2.466862,0,2021400,12.637668,Delay-insensitive,4,7.0
15000,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.222077,0.8613430000000001,2.222984,0,2021400,12.637668,Delay-insensitive,4,7.0
15300,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.2585739999999999,0.8624360000000001,2.107964,0,2021400,12.637668,Delay-insensitive,4,7.0
15600,aEvvIasshUIa2w+lJcz4Z+nvuVfyhg+3gcCyqS0DTKnVXp5ussYmY/AIwklNOBF5,0.2186199999999999,0.833434,2.199578,0,2021400,12.637668,Delay-insensitive,4,7.0
