timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.25069,0.885049,2.438904,0,2591700,11.657832,Delay-insensitive,8,14.0
300,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.285913,0.859748,2.020289,0,2591700,11.657832,Delay-insensitive,8,14.0
600,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.269018,0.871508,2.016239,0,2591700,11.657832,Delay-insensitive,8,14.0
900,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.203295,0.887008,2.457207,0,2591700,11.657832,Delay-insensitive,8,14.0
1200,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.093552,0.858116,2.435311,0,2591700,11.657832,Delay-insensitive,8,14.0
1500,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.287054,0.902746,2.044742,0,2591700,11.657832,Delay-insensitive,8,14.0
1800,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.096745,0.990948,11.572151,0,2591700,11.657832,Delay-insensitive,8,14.0
2100,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.28128,0.88744,2.229853,0,2591700,11.657832,Delay-insensitive,8,14.0
2400,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.263737,1.011284,11.715469,0,2591700,11.657832,Delay-insensitive,8,14.0
2700,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.26049,0.8890629999999999,2.474143,0,2591700,11.657832,Delay-insensitive,8,14.0
3000,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.0468019999999999,0.908752,4.934201,0,2591700,11.657832,Delay-insensitive,8,14.0
3300,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.2085469999999999,0.869704,2.170948,0,2591700,11.657832,Delay-insensitive,8,14.0
3600,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.251116,0.885617,2.439579,0,2591700,11.657832,Delay-insensitive,8,14.0
3900,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.2383849999999999,0.873036,2.5577650000000003,0,2591700,11.657832,Delay-insensitive,8,14.0
4200,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.217297,0.890193,2.451046,0,2591700,11.657832,Delay-insensitive,8,14.0
4500,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.278001,0.86272,2.498022,0,2591700,11.657832,Delay-insensitive,8,14.0
4800,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.257528,0.888149,2.501211,0,2591700,11.657832,Delay-insensitive,8,14.0
5100,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.197962,0.870609,2.08874,0,2591700,11.657832,Delay-insensitive,8,14.0
5400,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.257734,0.8849879999999999,2.451868,0,2591700,11.657832,Delay-insensitive,8,14.0
5700,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.118756,0.872072,2.78735,0,2591700,11.657832,Delay-insensitive,8,14.0
6000,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.2301929999999999,0.864001,2.452125,0,2591700,11.657832,Delay-insensitive,8,14.0
6300,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.31544,0.8888209999999999,2.124459,0,2591700,11.657832,Delay-insensitive,8,14.0
6600,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.073696,0.858292,2.235528,0,2591700,11.657832,Delay-insensitive,8,14.0
6900,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.26599,0.8883709999999999,2.103469,0,2591700,11.657832,Delay-insensitive,8,14.0
7200,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.2497329999999999,0.857234,2.130391,0,2591700,11.657832,Delay-insensitive,8,14.0
7500,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.28109,0.882133,2.168195,0,2591700,11.657832,Delay-insensitive,8,14.0
7800,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.294744,0.8571120000000001,2.169972,0,2591700,11.657832,Delay-insensitive,8,14.0
8100,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.261132,0.888021,2.489727,0,2591700,11.657832,Delay-insensitive,8,14.0
8400,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.176666,0.8499629999999999,2.317085,0,2591700,11.657832,Delay-insensitive,8,14.0
8700,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.253325,0.97973,9.875412,0,2591700,11.657832,Delay-insensitive,8,14.0
9000,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.1446609999999999,0.8856209999999999,1.940887,0,2591700,11.657832,Delay-insensitive,8,14.0
9300,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.276532,0.986733,11.265717,0,2591700,11.657832,Delay-insensitive,8,14.0
9600,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.266498,0.890235,2.048695,0,2591700,11.657832,Delay-insensitive,8,14.0
9900,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.073754,0.991425,11.260802,0,2591700,11.657832,Delay-insensitive,8,14.0
10200,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.193652,0.886408,2.454281,0,2591700,11.657832,Delay-insensitive,8,14.0
10500,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.275326,0.86421,2.379869,0,2591700,11.657832,Delay-insensitive,8,14.0
10800,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.184095,0.886294,2.806326,0,2591700,11.657832,Delay-insensitive,8,14.0
11100,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.218698,0.862784,1.892376,0,2591700,11.657832,Delay-insensitive,8,14.0
11400,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.24885,0.860368,1.940515,0,2591700,11.657832,Delay-insensitive,8,14.0
11700,aFK+a6NJoP2ALkBNq9OVQK5iw9sGiRqtszUcX7+1//KJjkoFdbOZoeeU6gwjRz/D,0.278839,0.8855149999999999,2.038768,0,2591700,11.657832,Delay-insensitive,8,14.0
