timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.583501,0.736783,0.928449,0,2591700,5.753256,Delay-insensitive,2,3.5
300,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.350481,0.69166,0.857202,0,2591700,5.753256,Delay-insensitive,2,3.5
600,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.6118279999999999,1.1773209999999998,5.297773,0,2591700,5.753256,Delay-insensitive,2,3.5
900,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.288455,0.720118,0.903151,0,2591700,5.753256,Delay-insensitive,2,3.5
1200,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.5906239999999999,0.7216670000000001,0.974584,0,2591700,5.753256,Delay-insensitive,2,3.5
1500,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.573224,1.206379,4.491008,0,2591700,5.753256,Delay-insensitive,2,3.5
1800,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.585032,0.757088,1.241562,0,2591700,5.753256,Delay-insensitive,2,3.5
2100,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.558582,0.719359,0.8958780000000001,0,2591700,5.753256,Delay-insensitive,2,3.5
2400,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.329887,1.058352,4.688719,0,2591700,5.753256,Delay-insensitive,2,3.5
2700,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.5877020000000001,1.041886,5.309853,0,2591700,5.753256,Delay-insensitive,2,3.5
3000,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.457214,0.725611,1.16915,0,2591700,5.753256,Delay-insensitive,2,3.5
3300,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.599435,0.716831,0.903663,0,2591700,5.753256,Delay-insensitive,2,3.5
3600,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.623959,0.8227469999999999,1.811761,0,2591700,5.753256,Delay-insensitive,2,3.5
3900,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.351601,0.688742,1.026677,0,2591700,5.753256,Delay-insensitive,2,3.5
4200,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.565661,0.71717,0.8834989999999999,0,2591700,5.753256,Delay-insensitive,2,3.5
4500,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.1708869999999999,1.128065,4.81975,0,2591700,5.753256,Delay-insensitive,2,3.5
4800,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.585146,0.724875,1.132583,0,2591700,5.753256,Delay-insensitive,2,3.5
5100,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.266258,0.662712,0.8515280000000001,0,2591700,5.753256,Delay-insensitive,2,3.5
5400,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.5492670000000001,1.175769,4.6755510000000005,0,2591700,5.753256,Delay-insensitive,2,3.5
5700,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.422229,0.691958,0.835197,0,2591700,5.753256,Delay-insensitive,2,3.5
6000,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.548099,0.7122109999999999,0.966098,0,2591700,5.753256,Delay-insensitive,2,3.5
6300,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.529284,1.491671,5.068039,0,2591700,5.753256,Delay-insensitive,2,3.5
6600,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.489625,0.816524,1.751191,0,2591700,5.753256,Delay-insensitive,2,3.5
6900,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.554179,0.738981,0.997025,0,2591700,5.753256,Delay-insensitive,2,3.5
7200,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.592328,0.737446,0.957037,0,2591700,5.753256,Delay-insensitive,2,3.5
7500,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.583846,1.167546,4.589071,0,2591700,5.753256,Delay-insensitive,2,3.5
7800,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.596433,0.729193,1.029922,0,2591700,5.753256,Delay-insensitive,2,3.5
8100,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.585422,0.695038,0.857727,0,2591700,5.753256,Delay-insensitive,2,3.5
8400,adMnAXdyc90YHGdczoPdeym8ZoxXuC7bVV1T44iWd9urIHCGFVh0cYvSQ1hnPCb+,0.529207,0.8134979999999999,1.587124,0,2591700,5.753256,Delay-insensitive,2,3.5
