timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,3.5291910000000004,4.318584,5.655014,0,166800,25.166755,Unkown,1,1.75
300,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,3.831949,5.020034,9.927747,0,166800,25.166755,Unkown,1,1.75
600,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,4.091071,5.61982,10.673588,0,166800,25.166755,Unkown,1,1.75
900,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,3.5986050000000005,7.746335,30.009386,0,166800,25.166755,Unkown,1,1.75
1200,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,4.075252,5.912148999999999,10.38606,0,166800,25.166755,Unkown,1,1.75
1500,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,4.469593,6.198851,10.831387,0,166800,25.166755,Unkown,1,1.75
1800,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,4.217724,5.395885,11.082239,0,166800,25.166755,Unkown,1,1.75
2100,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,2.6541240000000004,5.190059,10.509796,0,166800,25.166755,Unkown,1,1.75
2400,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,4.411549,5.71517,10.318966,0,166800,25.166755,Unkown,1,1.75
2700,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,3.758799,6.744331,26.033083,0,166800,25.166755,Unkown,1,1.75
3000,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,3.983414,5.365252,10.326024,0,166800,25.166755,Unkown,1,1.75
3300,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,3.652586,5.54552,10.71562,0,166800,25.166755,Unkown,1,1.75
3600,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,4.117019,5.280313,10.850527,0,166800,25.166755,Unkown,1,1.75
3900,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,4.061007,5.402278,10.311474,0,166800,25.166755,Unkown,1,1.75
4200,akNbIEMvNq9F6PaIkQxRb6WwNmFGtwoMX75s+SwX06dblZ6GO1zKoUALNabhsJWf,2.656025,5.482336,10.401343,0,166800,25.166755,Unkown,1,1.75
