timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.446137,2.190646,3.527737,0,2591700,19.103659,Delay-insensitive,1,1.75
300,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.420919,1.937217,2.755246,0,2591700,19.103659,Delay-insensitive,1,1.75
600,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.378752,1.91146,2.691327,0,2591700,19.103659,Delay-insensitive,1,1.75
900,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.468216,2.153811,3.131465,0,2591700,19.103659,Delay-insensitive,1,1.75
1200,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.454135,1.834825,2.747882,0,2591700,19.103659,Delay-insensitive,1,1.75
1500,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.445995,2.142177,3.737951,0,2591700,19.103659,Delay-insensitive,1,1.75
1800,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.451052,2.135645,2.727431,0,2591700,19.103659,Delay-insensitive,1,1.75
2100,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.461302,1.951744,2.738866,0,2591700,19.103659,Delay-insensitive,1,1.75
2400,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.384228,9.812997,51.899256,0,2591700,19.103659,Delay-insensitive,1,1.75
2700,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.131301,1.944844,2.77986,0,2591700,19.103659,Delay-insensitive,1,1.75
3000,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.467263,1.972391,2.697293,0,2591700,19.103659,Delay-insensitive,1,1.75
3300,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.416618,1.91492,3.179815,0,2591700,19.103659,Delay-insensitive,1,1.75
3600,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.450996,2.102901,2.749191,0,2591700,19.103659,Delay-insensitive,1,1.75
3900,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.665184,1.776093,2.734759,0,2591700,19.103659,Delay-insensitive,1,1.75
4200,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.440783,2.093455,3.894355000000001,0,2591700,19.103659,Delay-insensitive,1,1.75
4500,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.67811,2.314089,5.950848000000001,0,2591700,19.103659,Delay-insensitive,1,1.75
4800,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.446797,1.975738,2.8639330000000003,0,2591700,19.103659,Delay-insensitive,1,1.75
5100,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.415,1.905544,3.783589,0,2591700,19.103659,Delay-insensitive,1,1.75
5400,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.466028,2.094873,2.774028,0,2591700,19.103659,Delay-insensitive,1,1.75
5700,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.971334,1.885721,2.780766,0,2591700,19.103659,Delay-insensitive,1,1.75
6000,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.522382,5.008247,33.275305,0,2591700,19.103659,Delay-insensitive,1,1.75
6300,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.4743389999999998,2.109715,2.783663,0,2591700,19.103659,Delay-insensitive,1,1.75
6600,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.947607,1.950031,2.795824,0,2591700,19.103659,Delay-insensitive,1,1.75
6900,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.440188,2.0329200000000003,3.833191,0,2591700,19.103659,Delay-insensitive,1,1.75
7200,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.978476,1.994538,2.778539,0,2591700,19.103659,Delay-insensitive,1,1.75
7500,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.465959,2.002383,2.709395,0,2591700,19.103659,Delay-insensitive,1,1.75
7800,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.6986829999999999,1.894452,3.838996,0,2591700,19.103659,Delay-insensitive,1,1.75
8100,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.462041,2.134274,2.750119,0,2591700,19.103659,Delay-insensitive,1,1.75
8400,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.48266,1.957058,2.853049,0,2591700,19.103659,Delay-insensitive,1,1.75
8700,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.416158,2.087437,3.933451,0,2591700,19.103659,Delay-insensitive,1,1.75
9000,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.4516440000000002,2.168846,3.250648,0,2591700,19.103659,Delay-insensitive,1,1.75
9300,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.462079,1.998905,3.096099,0,2591700,19.103659,Delay-insensitive,1,1.75
9600,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.44126,5.120468,21.954781,0,2591700,19.103659,Delay-insensitive,1,1.75
9900,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.5869840000000001,1.972038,3.024143,0,2591700,19.103659,Delay-insensitive,1,1.75
10200,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.465858,1.9521580000000005,2.845061,0,2591700,19.103659,Delay-insensitive,1,1.75
10500,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.71705,1.864761,3.854562,0,2591700,19.103659,Delay-insensitive,1,1.75
10800,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.476363,2.089774,2.891407,0,2591700,19.103659,Delay-insensitive,1,1.75
11100,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.439164,1.971374,2.708308,0,2591700,19.103659,Delay-insensitive,1,1.75
11400,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.8292950000000001,1.973702,3.830906,0,2591700,19.103659,Delay-insensitive,1,1.75
11700,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.474912,2.131623,2.738934,0,2591700,19.103659,Delay-insensitive,1,1.75
12000,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.073966,1.893738,2.806907,0,2591700,19.103659,Delay-insensitive,1,1.75
12300,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.432805,2.022876,3.698422,0,2591700,19.103659,Delay-insensitive,1,1.75
12600,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.6765329999999999,1.895801,2.691835,0,2591700,19.103659,Delay-insensitive,1,1.75
12900,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.387217,1.929073,2.719152,0,2591700,19.103659,Delay-insensitive,1,1.75
13200,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.461442,5.213064,34.371301,0,2591700,19.103659,Delay-insensitive,1,1.75
13500,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.446843,2.083777,2.814045,0,2591700,19.103659,Delay-insensitive,1,1.75
13800,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.256158,1.878878,2.703152,0,2591700,19.103659,Delay-insensitive,1,1.75
14100,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.42141,2.010367,3.645199,0,2591700,19.103659,Delay-insensitive,1,1.75
14400,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.429751,2.013976,3.213088,0,2591700,19.103659,Delay-insensitive,1,1.75
14700,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.4064530000000002,1.956648,2.822303,0,2591700,19.103659,Delay-insensitive,1,1.75
15000,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.440547,2.05373,3.533778,0,2591700,19.103659,Delay-insensitive,1,1.75
15300,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.417553,1.84818,2.740265,0,2591700,19.103659,Delay-insensitive,1,1.75
15600,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.38991,2.037301,2.8856080000000004,0,2591700,19.103659,Delay-insensitive,1,1.75
15900,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.081042,1.778892,2.707358,0,2591700,19.103659,Delay-insensitive,1,1.75
16200,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.402811,1.977509,3.097362,0,2591700,19.103659,Delay-insensitive,1,1.75
16500,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.38121,1.936427,2.732767,0,2591700,19.103659,Delay-insensitive,1,1.75
16800,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.216906,4.854762,30.77594,0,2591700,19.103659,Delay-insensitive,1,1.75
17100,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.412598,1.984759,3.198176,0,2591700,19.103659,Delay-insensitive,1,1.75
17400,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.4118620000000002,1.963251,2.817011,0,2591700,19.103659,Delay-insensitive,1,1.75
17700,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.484423,2.099578,3.664048,0,2591700,19.103659,Delay-insensitive,1,1.75
18000,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.262999,1.81744,2.7739580000000004,0,2591700,19.103659,Delay-insensitive,1,1.75
18300,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.432081,2.340325,3.5440089999999995,0,2591700,19.103659,Delay-insensitive,1,1.75
18600,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.096637,4.475479,12.787987,0,2591700,19.103659,Delay-insensitive,1,1.75
18900,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.408778,2.316277,3.662784,0,2591700,19.103659,Delay-insensitive,1,1.75
19200,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.571087,8.408560000000001,37.154138,0,2591700,19.103659,Delay-insensitive,1,1.75
19500,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.41724,4.716957,25.640683,0,2591700,19.103659,Delay-insensitive,1,1.75
19800,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.410232,2.166321,3.528514,0,2591700,19.103659,Delay-insensitive,1,1.75
20100,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.443292,2.079267,2.744789,0,2591700,19.103659,Delay-insensitive,1,1.75
20400,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.347071,5.220579,33.10174,0,2591700,19.103659,Delay-insensitive,1,1.75
20700,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.8785540000000001,1.771627,2.697496,0,2591700,19.103659,Delay-insensitive,1,1.75
21000,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.369429,2.031794,2.926447,0,2591700,19.103659,Delay-insensitive,1,1.75
21300,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,0.988398,1.785936,2.822302,0,2591700,19.103659,Delay-insensitive,1,1.75
21600,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.395271,2.035195,3.240475,0,2591700,19.103659,Delay-insensitive,1,1.75
21900,amIsg+ukikOz2VfLTbBL/K5g/o/Yb1VvAfDIQu5gc8JEnffNlk8EW6aKOekF/3ex,1.35579,1.964963,2.726505,0,2591700,19.103659,Delay-insensitive,1,1.75
