timestamp,vm_id,min_cpu,max_cpu,avg_cpu,timestamp vm created,timestamp vm deleted,p95 max cpu,vm_category,vm virtual core count,vm memory (gb)
0,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.371001,3.686051,4.416271,0,1805700,27.661737,Delay-insensitive,1,1.75
300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.357106,3.682355,4.43842,0,1805700,27.661737,Delay-insensitive,1,1.75
600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.370707,3.583127,4.276763,0,1805700,27.661737,Delay-insensitive,1,1.75
900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.189582,3.63522,4.362692,0,1805700,27.661737,Delay-insensitive,1,1.75
1200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.386371,3.665631,4.474613,0,1805700,27.661737,Delay-insensitive,1,1.75
1500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.4017410000000003,3.700658,4.322093,0,1805700,27.661737,Delay-insensitive,1,1.75
1800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.42626,3.692684,4.46948,0,1805700,27.661737,Delay-insensitive,1,1.75
2100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.089499,3.652177,4.529892,0,1805700,27.661737,Delay-insensitive,1,1.75
2400,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.411398,4.632791,13.282675,0,1805700,27.661737,Delay-insensitive,1,1.75
2700,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.3823870000000005,3.790187,4.4188410000000005,0,1805700,27.661737,Delay-insensitive,1,1.75
3000,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.306508,3.707869,4.391175,0,1805700,27.661737,Delay-insensitive,1,1.75
3300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.415928,3.68968,4.5156480000000006,0,1805700,27.661737,Delay-insensitive,1,1.75
3600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.4342300000000003,3.728177,4.366426000000001,0,1805700,27.661737,Delay-insensitive,1,1.75
3900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.403172,3.73949,4.486388,0,1805700,27.661737,Delay-insensitive,1,1.75
4200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.4155580000000003,3.638425,4.453093,0,1805700,27.661737,Delay-insensitive,1,1.75
4500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.356217,3.756739,4.410480000000001,0,1805700,27.661737,Delay-insensitive,1,1.75
4800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,2.939756,3.701868,4.456473,0,1805700,27.661737,Delay-insensitive,1,1.75
5100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,2.939259,3.586456,4.4087,0,1805700,27.661737,Delay-insensitive,1,1.75
5400,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.373412,3.75794,4.307496,0,1805700,27.661737,Delay-insensitive,1,1.75
5700,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.097854,3.717509,4.496583,0,1805700,27.661737,Delay-insensitive,1,1.75
6000,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.486819,4.669136,13.381507999999998,0,1805700,27.661737,Delay-insensitive,1,1.75
6300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.109326,3.689786,4.355206,0,1805700,27.661737,Delay-insensitive,1,1.75
6600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.432785,3.756504,4.533949,0,1805700,27.661737,Delay-insensitive,1,1.75
6900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.4524230000000005,3.881406,5.506689,0,1805700,27.661737,Delay-insensitive,1,1.75
7200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.312507,3.736868,4.366722,0,1805700,27.661737,Delay-insensitive,1,1.75
7500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.438728,3.742648,4.471655,0,1805700,27.661737,Delay-insensitive,1,1.75
7800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.475055,3.677184,4.4605690000000005,0,1805700,27.661737,Delay-insensitive,1,1.75
8100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.449097,3.752517,4.366168,0,1805700,27.661737,Delay-insensitive,1,1.75
8400,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.112361,3.700021,4.438530999999999,0,1805700,27.661737,Delay-insensitive,1,1.75
8700,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.4666410000000005,3.70803,4.458219000000001,0,1805700,27.661737,Delay-insensitive,1,1.75
9000,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.142095,3.659404,4.358036,0,1805700,27.661737,Delay-insensitive,1,1.75
9300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.373888,3.691968,4.471597,0,1805700,27.661737,Delay-insensitive,1,1.75
9600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.232225,4.59981,13.384916,0,1805700,27.661737,Delay-insensitive,1,1.75
9900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.432087,3.75439,4.443379,0,1805700,27.661737,Delay-insensitive,1,1.75
10200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.136072,3.741192,4.44631,0,1805700,27.661737,Delay-insensitive,1,1.75
10500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,2.822368,3.619054,4.4882480000000005,0,1805700,27.661737,Delay-insensitive,1,1.75
10800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.39841,3.77533,4.328139,0,1805700,27.661737,Delay-insensitive,1,1.75
11100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.035926,3.722854,4.473476,0,1805700,27.661737,Delay-insensitive,1,1.75
11400,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.397257,3.676848,4.461062,0,1805700,27.661737,Delay-insensitive,1,1.75
11700,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.210507,3.73868,4.367076,0,1805700,27.661737,Delay-insensitive,1,1.75
12000,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.426154,4.1641010000000005,6.086286,0,1805700,27.661737,Delay-insensitive,1,1.75
12300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.408145,3.820665,5.247376999999999,0,1805700,27.661737,Delay-insensitive,1,1.75
12600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.418407,3.745645,4.363535,0,1805700,27.661737,Delay-insensitive,1,1.75
12900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.312875,3.753194,4.52222,0,1805700,27.661737,Delay-insensitive,1,1.75
13200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.3963400000000004,4.641064,13.3873,0,1805700,27.661737,Delay-insensitive,1,1.75
13500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.499015,3.760735,4.319934,0,1805700,27.661737,Delay-insensitive,1,1.75
13800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.446831,3.757395,4.407139,0,1805700,27.661737,Delay-insensitive,1,1.75
14100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.447596,3.683903,4.525449,0,1805700,27.661737,Delay-insensitive,1,1.75
14400,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.09513,3.720136,4.344058,0,1805700,27.661737,Delay-insensitive,1,1.75
14700,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.4112150000000003,3.738228,4.528555,0,1805700,27.661737,Delay-insensitive,1,1.75
15000,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.3744910000000004,3.801073,4.930756,0,1805700,27.661737,Delay-insensitive,1,1.75
15300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.463657,3.760402,4.423704,0,1805700,27.661737,Delay-insensitive,1,1.75
15600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.050837,3.71129,4.419109,0,1805700,27.661737,Delay-insensitive,1,1.75
15900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.0260990000000003,3.624589,4.418325,0,1805700,27.661737,Delay-insensitive,1,1.75
16200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.46869,3.796197,4.699548,0,1805700,27.661737,Delay-insensitive,1,1.75
16500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,2.933174,3.717015,4.468384,0,1805700,27.661737,Delay-insensitive,1,1.75
16800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.5073260000000004,4.672365,13.401029,0,1805700,27.661737,Delay-insensitive,1,1.75
17100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,2.815873,3.684479,4.386326,0,1805700,27.661737,Delay-insensitive,1,1.75
17400,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.461345,3.743682,4.51445,0,1805700,27.661737,Delay-insensitive,1,1.75
17700,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.428344,3.799028,4.663236,0,1805700,27.661737,Delay-insensitive,1,1.75
18000,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.4266400000000004,3.775084,4.30039,0,1805700,27.661737,Delay-insensitive,1,1.75
18300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.391451,3.737193,4.433538,0,1805700,27.661737,Delay-insensitive,1,1.75
18600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.3298400000000004,3.641669,4.408172,0,1805700,27.661737,Delay-insensitive,1,1.75
18900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.458624,3.780254,4.377448,0,1805700,27.661737,Delay-insensitive,1,1.75
19200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.4633830000000003,3.757944,4.435183,0,1805700,27.661737,Delay-insensitive,1,1.75
19500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.422261,3.652387,4.402812,0,1805700,27.661737,Delay-insensitive,1,1.75
19800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.155762,4.022423000000001,5.510644,0,1805700,27.661737,Delay-insensitive,1,1.75
20100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.5071449999999995,3.770229,4.297989,0,1805700,27.661737,Delay-insensitive,1,1.75
20400,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.022411,4.6384300000000005,13.363662,0,1805700,27.661737,Delay-insensitive,1,1.75
20700,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.469245,3.749154,4.20559,0,1805700,27.661737,Delay-insensitive,1,1.75
21000,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.215015,3.730474,4.313594999999999,0,1805700,27.661737,Delay-insensitive,1,1.75
21300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.130163,3.652715,4.308467,0,1805700,27.661737,Delay-insensitive,1,1.75
21600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.462131,3.765798,4.168324,0,1805700,27.661737,Delay-insensitive,1,1.75
21900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,2.935271,3.705619,4.291444,0,1805700,27.661737,Delay-insensitive,1,1.75
22200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.445679,3.692807,4.313301999999999,0,1805700,27.661737,Delay-insensitive,1,1.75
22500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.183749,3.746863,4.204344,0,1805700,27.661737,Delay-insensitive,1,1.75
22800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.3951860000000003,3.752374,4.346535,0,1805700,27.661737,Delay-insensitive,1,1.75
23100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.028557,3.628826,4.209476,0,1805700,27.661737,Delay-insensitive,1,1.75
23400,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.3582370000000004,3.737999,4.685999,0,1805700,27.661737,Delay-insensitive,1,1.75
23700,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.463725,3.695675,4.530629,0,1805700,27.661737,Delay-insensitive,1,1.75
24000,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.044009,4.693437,11.940151,0,1805700,27.661737,Delay-insensitive,1,1.75
24300,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.391792,3.76446,4.713929,0,1805700,27.661737,Delay-insensitive,1,1.75
24600,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.211028,3.645377,4.459699,0,1805700,27.661737,Delay-insensitive,1,1.75
24900,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.467313,3.788326,4.51642,0,1805700,27.661737,Delay-insensitive,1,1.75
25200,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,2.931519,3.708988,4.738084,0,1805700,27.661737,Delay-insensitive,1,1.75
25500,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.408714,3.663316000000001,4.516304,0,1805700,27.661737,Delay-insensitive,1,1.75
25800,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.116962,3.735181,4.4550730000000005,0,1805700,27.661737,Delay-insensitive,1,1.75
26100,aml/Rh/jbGArbLOdeac5mK9VFztKiVd2nBbNLNLJLlikipZ4rLnuiQ9ODaHYCUi8,3.389869,3.76984,4.715557,0,1805700,27.661737,Delay-insensitive,1,1.75
